,close
1027,4134.1441
1026,4254.0989
1025,4222.5968
1024,4276.158
1023,4263.8411
1022,4209.0998
1021,4230.7669
1020,4100.0703
1019,4179.9727
1018,4139.737
1017,4191.5684
1016,4188.7472
1015,4166.3844
1014,4134.9017
1013,4070.7889
1012,3995.83
1011,4013.2498
1010,3814.9127
1009,3784.1198
1008,3895.5361
1007,3921.1073
1006,4016.241
1005,4010.2102
1004,3908.815
1003,3877.4364
1002,3919.8684
1001,3976.4231
1000,3958.74
999,3988.6002
998,3956.5378
997,4005.8934
996,3991.9069
995,3999.5984
994,4077.5998
993,4053.9823
992,3959.1541
991,3983.1784
990,3993.0446
989,4001.2988
988,4029.0179
987,4091.5176
986,4083.1772
985,4089.5682
984,4166.085
983,4179.1285
982,4219.8122
981,4175.6747
980,4238.9936
979,4189.3527
978,4222.3114
977,4278.2178
976,4250.0614
975,4309.0444
974,4330.4328
973,4325.5657
972,4270.6227
971,4343.8781
970,4394.7723
969,4444.2639
968,4490.5166
967,4421.357
966,4485.0108
965,4466.7179
964,4496.0303
963,4489.5383
962,4423.9698
961,4443.4736
960,4428.781
959,4354.6167
958,4313.6184
957,4321.4617
956,4322.0742
955,4248.5273
954,4292.5858
953,4269.3401
952,4283.8027
951,4236.0578
950,4238.2341
949,4212.6441
948,4245.9758
947,4225.0357
946,4225.6733
945,4170.1019
944,4188.6784
943,4107.024
942,4066.9754
941,4101.5367
940,4156.9111
939,4148.0746
938,4156.2907
937,4109.7373
936,4193.5428
935,4191.152
934,4185.6794
933,4177.837
932,4216.9586
931,4180.0996
930,4151.0738
929,4181.3965
928,4161.0823
927,4082.4195
926,4116.2396
925,4107.5455
924,4089.5205
923,4075.7937
922,4078.8402
921,4043.7395
920,4023.6131
919,4015.4264
918,4052.2802
917,4054.983
916,4037.6839
915,4093.7874
914,4111.1145
913,4065.359
912,4027.1186
911,3932.6826
910,3928.0001
909,3932.8361
908,3903.7348
907,3869.344
906,3856.0212
905,3836.6773
904,3892.295
903,3828.7098
902,3827.1434
901,3804.8853
900,3720.9365
899,3727.6867
898,3784.3064
897,3752.6729
896,3842.4698
895,3846.4119
894,3838.2667
893,3776.5335
892,3754.9269
891,3742.8929
890,3633.3733
889,3627.4542
888,3656.9027
887,3631.1448
886,3541.3295
885,3508.7034
884,3634.1732
883,3677.8051
882,3647.8966
881,3767.1746
880,3775.2971
879,3749.3251
878,3714.2704
877,3685.6885
876,3788.4387
875,3794.0171
874,3865.9726
873,3834.3899
872,3818.664
871,3801.5686
870,3769.1269
869,3769.5727
868,3773.5287
867,3756.8082
866,3775.7764
865,3733.2424
864,3848.4224
863,3853.0365
862,3894.7687
861,3870.9478
860,3946.8759
859,3968.1979
858,3958.4409
857,3959.1798
856,3998.2442
855,3953.4433
854,3945.6813
853,3954.8857
852,3951.9885
851,3954.227
850,3893.2207
849,3829.0173
848,3830.5384
847,3836.028
846,3828.2188
845,3843.4887
844,3887.854
843,3871.2644
842,3856.7007
841,3871.6338
840,3887.8992
839,3892.9477
838,3968.5782
837,3980.8888
836,4013.1196
835,4017.4737
834,4010.0309
833,4017.8692
832,4074.3772
831,4137.9643
830,4137.2422
829,4130.3143
828,4156.0077
827,4181.5267
826,4201.345
825,4156.8578
824,4195.9332
823,4181.1493
822,4141.6319
821,4086.8779
820,4094.2335
819,4076.1411
818,4130.8565
817,4106.3097
816,4143.574
815,4145.2902
814,4123.6893
813,4093.4876
812,4034.507
811,4133.4896
810,4144.3536
809,4106.9506
808,4103.6463
807,4061.0457
806,4043.8444
805,4069.4587
804,4126.9415
803,4117.7377
802,4130.5513
801,4109.0102
800,4048.8519
799,4034.1077
798,4019.8505
797,3967.1352
796,4008.686
795,3984.6956
794,3986.902
793,3939.1505
792,3958.8194
791,3939.077
790,3982.3782
789,3999.4427
788,4039.0895
787,4027.0457
786,4012.4771
785,3999.5147
784,4006.144
783,4038.5257
782,4050.9257
781,4090.5676
780,4103.1052
779,4096.64
778,4123.2799
777,4104.8118
776,4100.1479
775,4097.2876
774,4068.9786
773,4091.9988
772,4149.3836
771,4162.032
770,4124.5589
769,4113.0192
768,4032.5672
767,3982.6429
766,3962.6658
765,3959.2323
764,3988.4185
763,4029.0858
762,4030.2471
761,4016.8774
760,4062.6624
759,4027.8754
758,3996.8695
757,3990.6637
756,3937.7622
755,3998.8872
754,3978.2054
753,3960.165
752,3956.0701
751,3944.5403
750,3969.3277
749,3913.1882
748,3859.0935
747,3850.4996
746,3850.9511
745,3833.9416
744,3837.7531
743,3798.5434
742,3806.8679
741,3861.8337
740,3844.2492
739,3808.1629
738,3789.3418
737,3820.1867
736,3836.7026
735,3844.4324
734,3864.9074
733,3864.0247
732,3925.4994
731,3963.3509
730,3930.9079
729,3924.2377
728,3864.0323
727,3809.6962
726,3845.4334
725,3840.7986
724,3821.8435
723,3842.4516
722,3892.8821
721,3899.0133
720,3868.8054
719,3842.7547
718,3825.6988
717,3844.3269
716,3869.4861
715,3843.4369
714,3898.4229
713,3899.1027
712,3867.1749
711,3854.9393
710,3850.8663
709,3823.6946
708,3821.91
707,3805.221
706,3915.1153
705,3907.0128
704,3902.3458
703,3992.7376
702,4014.6301
701,3998.001
700,3969.895
699,4004.9839
698,4020.5792
697,3990.1531
696,3979.7322
695,3967.5652
694,3975.7166
693,3884.2538
692,3855.9061
691,3846.5357
690,3818.3338
689,3831.1008
688,3784.0038
687,3729.555
686,3758.2271
685,3696.6339
684,3723.4293
683,3709.1517
682,3752.6194
681,3790.1067
680,3788.5097
679,3765.2678
678,3791.4912
677,3848.9517
676,3820.3174
675,3812.0283
674,3758.4748
673,3739.9927
672,3767.537
671,3760.6048
670,3736.6513
669,3733.5077
668,3708.7766
667,3727.711
666,3720.5021
665,3705.6898
664,3672.4448
663,3738.9327
662,3714.6037
661,3692.8928
660,3700.495
659,3689.5172
658,3684.7272
657,3657.1259
656,3667.5483
655,3702.3824
654,3663.4104
653,3626.5972
652,3639.4018
651,3610.5767
650,3533.5445
649,3510.5889
648,3474.2438
647,3487.1302
646,3504.4576
645,3514.1448
644,3562.3851
643,3583.7718
642,3572.5056
641,3571.0268
640,3554.1889
639,3584.1364
638,3632.6084
637,3619.7593
636,3611.0723
635,3612.8263
634,3586.4893
633,3579.4141
632,3582.0584
631,3607.2454
630,3572.3641
629,3568.0685
628,3576.3233
627,3581.0674
626,3544.4162
625,3561.5204
